"Any_Alta","Tipus _Equipament","Tipologia_Sigles","Subtipologia_Sigles","Nom ","Adreca ","Latitud","Longitud","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Potencia_kWp  "," Energia_Produeix_ kWh ","Nombre_Llars_Subministrament","Emissions_ Estalviades_KgCO2eq","Tipus_Connexio"
2021,"Educació","Coberta ","IES","IES Ernest Lluch","Carrer de la Diputació, 11-15","41.378314858300094","2.1503365848985507","02","Eixample ","09","la Nova Esquerra de l'Eixample","25.84",32300,14,11628,"Autoconsum"
2021,"Educació","Coberta ",,"Roger AE PAV2 i EBM","Carrer Roger, 48-64","41.37741894238277","2.1282073845654144","03","Sants-Montjuic ","17","Sants - Badal","29.16",36450,16,13122,"Autoconsum compartit"
2021,"Educació","Coberta ","ESC","Escola Nabí","Carrer dels Reis Catòlics, 38","41.41626113303973","2.101412701252529","05","Sarrià-Sant Gervasi","22","Vallvidrera, el Tibidabo i les Planes","44.9",56125,24,20205,"Autoconsum"
2021,"Espai públic","Pèrgoles i espai públic ",,"Cobertura Ronda de Dalt","Passeig Vall d'Hebrón, 103","41.42456345719034","2.14220072017269","07","Horta-Guinardó ","39","Sant Genís dels Agudells",50,62500,27,22500,"Connexió a xarxa"
2021,"Espai públic","Pèrgoles i espai públic ",,"Pilar Miró ","Plaça Pilar Miró ","41.44797383890816","2.2018961473109","09","Sant Andreu","58","Baró de Viver",92,115000,50,41400,"Autoconsum"
2021,"Oficines","Coberta ","OFED","Seu Central Barcelona Activa","Carrer Llacuna, 162","41.406620031369236","2.192814753873412","10","Sant Martí","71","Provençals del Poblenou","30.82",38525,17,13869,"Autoconsum"
2020,"Instal·lació esportiva","Coberta ","CX","Pavelló Poliesportiu Camp del Ferro","Plaça Albert Badia i Mur","41.4283877541502","2.1938748538741115","09","Sant Andreu","61","la Sagrera","51.06",63825,28,22977,"Autoconsum"
2020,"Educació","Coberta ","ESC","CEIP Alexandre Galí (IESM Narcís Monturiol)","Passeig Marítim de la Barceloneta, 11","41.38125896340694","2.1933547561871913","01","Ciutat Vella","03","la Barceloneta","45.25","56562.5",25,20363,"Autoconsum"
2020,"Habitatge","Coberta ",,"HPO Solar Germanetes LLS IMHAB","Carrer Comte Borrell, 159","41.382787092683294","2.1551144278404735","02","Eixample ","09","la Nova Esquerra de l'Eixample","11.76",14700,6,5292,"Autoconsum"
2020,"Habitatge","Coberta ",,"HPO Solar Germanetes. Gent Gran IMHAB","Carrer Viladomat, 142","41.38255355576632","2.1545257528169826","02","Eixample ","09","la Nova Esquerra de l'Eixample",18,22500,10,8100,"Autoconsum"
2020,"Educació","Coberta ","ESC","Escola Ítaca","Carrer de Numància, 140","41.38840368089308","2.1340106905523757","04","Les Corts","19","les Corts","44.25","55312.5",24,19913,"Autoconsum"
2020,"Instal·lació esportiva","Coberta ",,"Pista poliesportiva Arístides Maiol","Aristides Maillol, 12","41.38083443393095","2.121170684565525","04","Les Corts","20","la Maternitat i Sant Ramon","79.2",99000,43,35640,"Connexió a xarxa"
2020,"Centre cívic","Coberta ",,"Edifici Multiservei Sarrià","Plaça de Sarrià","41.400094357425125","2.1221720601956617","05","Sarrià-Sant Gervasi","23","Sarrià","44.54",55675,24,20043,"Autoconsum"
2020,"Educació","Coberta ","ESC","CEIP Pare Poveda","Avinguda de Vallcarca, 220","41.41719428613121","2.1415234324461325","06","Gràcia ","28","Vallcarca i els Penitents","39.2",49000,21,17640,"Autoconsum"
2020,"Casal","Coberta ",,"Casal Can Carol","Carrer Cambrils, 28","41.41258918234278","2.1458907268933083","06","Gràcia ","28","Vallcarca i els Penitents","2.8",3500,2,1260,"Autoconsum"
2020,"Mitgera","Parets i mitgeres",,"Plaça de les Dones del 36. Mitgera","Plaça de les Dones del 36","41.40478828021956","2.1536190860282836","06","Gràcia ","31","la Vila de Gràcia","10.23",10230,4,3683,"Connexió a xarxa"
2020,"Equipament cultural","Coberta ",,"Parc de Mas Ravetllat","Carrer del Torrent d'en Melis","41.41603402692928","2.1704663394669144","07","Horta-Guinardó ","35","el Guinardó","5.775","7218.75",3,2599,"Autoconsum"
2020,"Educació","Coberta ","IES","Escola Ferran Tallada","Carrer de la Gran Vista, 54","41.420771776083726","2.163434507012597","07","Horta-Guinardó ","37","el Carmel","40.42",50525,22,18189,"Autoconsum"
2020,"Mercat","Coberta ","MM","Mercat de la Vall d'Hebron-Teixonera","Passeig de la Vall d’Hebron, 130","41.42385456451415","2.142488078455935","07","Horta-Guinardó ","38","la Teixonera","79.92",99900,43,35964,"Autoconsum"
2020,"Biblioteca","Coberta ","BIBL","Biblioteca Vilapicina i la Torre Llobeta","Plaça de Carmen Laforet, 11","41.426796905277996","2.1762258191776924","08","Nou Barris","44","Vilapicina i la Torre Llobeta","51.52",64400,28,23184,"Autoconsum"
2020,"Oficines","Coberta ","OFLOC","Parc Tecnològic Nou Barris - Barcelona Activa","Carrer Marie Curie, 8","41.43655416696978","2.16898920693468","08","Nou Barris","48","la Guineueta","43.66",54575,24,19647,"Autoconsum"
2020,"Educació","Coberta ","EBM","EBM El Vent","Carrer de Miguel Hernández, 20","41.44348099960509","2.1669177281572853","08","Nou Barris","49","Canyelles","19.34",24175,11,8703,"Autoconsum"
2020,"Educació","Coberta ","IES","IES Doctor Puigvert","Passeig de Santa Coloma, 46","41.44604181064683","2.1933797660719825","09","Sant Andreu","60","Sant Andreu","47.88",59850,26,21546,"Autoconsum"
2020,"Seu del districte","Coberta ","OFLOC","Seu del Districte de Sant Andreu","Plaça d'Orfila, 1","41.43590294088165","2.1906634990396507","09","Sant Andreu","60","Sant Andreu","13.23","16537.5",7,5954,"Autoconsum"
2020,"Educació","Coberta ","EECOM","IES Príncep de Viana / CEIP Pegaso","Carrer de Torroella de Montgrí, 6","41.4279987202371","2.1866517788608997","09","Sant Andreu","61","la Sagrera","91.3",114125,50,41085,"Autoconsum"
2020,"Mitgera","Parets i mitgeres",,"Mitgera Betevé","Plaça Tísner, 1","41.40059544350059","2.1938503369111304","10","Sant Martí","66","el Parc i la Llacuna del Poblenou","2.97",2970,1,1069,"Autoconsum"
2020,"Educació","Coberta ","IES","IES Barri Besòs","Carrer de Josep Pla, 40","41.41155356676038","2.212942506523557","10","Sant Martí","70","el Besòs i el Maresme","53.76",67200,29,24192,"Autoconsum"
2019,"Habitatge","Coberta ",,"HPO Ciutat Vella (IMHAB)","Carrer Sant Ramon, 6","41.378045487978895","2.171302198055612","01","Ciutat Vella","01","el Raval","5.94",7425,3,2673,"Autoconsum"
2019,"Centre cívic","Coberta ","CL&CC","Convent de Sant Agustí","Carrer del Comerç, 36","41.38771961361086","2.1815642633054027","01","Ciutat Vella","04","Sant Pere, Santa Caterina i la Ribera","35.28",44100,19,15876,"Autoconsum"
