"Any_Alta","Tipus _Equipament","Tipologia_Sigles","Subtipologia_Sigles","Nom ","Adreca ","Latitud","Longitud","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Potencia_kWp  "," Energia_Produeix_ kWh ","Nombre_Llars_Subministrament","Emissions_ Estalviades_KgCO2eq","Tipus_Connexio"
2017,"Cementiri","Coberta ","CMT","Cementiri de Montjuic","Carrer de la Mare de Déu de Port, 56","41.35525859245843","2.158897951640742","03","Sants-Montjuic ","11","el Poble-sec","14.4",18000,8,6480,"Autoconsum"
2017,"Espai públic","Pèrgoles i espai públic ",,"Pèrgoles Pl. Joan Pelegrí","Plaça Joan Pelegrí","41.37639482525137","2.142187627909698","03","Sants-Montjuic ","15","Hostafrancs","14.31","17887.5",8,6440,"Autoconsum"
2017,"Espai públic","Pèrgoles i espai públic ",,"Pèrgoles Avinguda Tarradellas","Av. Tarradellas amb Av. Sarrià","41.39026092178119","2.143675587261552","04","Les Corts","19","les Corts","31.2",39000,17,14040,"Autoconsum amb bateries"
2017,"Centre cívic","Coberta ","CL&CC","Vil·la Urània","Via Augusta, 102","41.40148792287737","2.149668935096307","05","Sarrià-Sant Gervasi","27","el Putxet i el Farró",20,25000,11,9000,"Autoconsum"
2017,"Casal","Coberta ","CL&CC","Casal de barri Can Portabella","Carrer Virgili, 18","41.429148267255655","2.1940477401683034","09","Sant Andreu","60","Sant Andreu","9.8",12250,5,4410,"Autoconsum"
2017,"Centre cívic","Coberta ","CL&CC","Centre Cívic Can Clariana (Espai Felip II)","Carrer Felip II, 222","41.42777916701208","2.1785734134036225","09","Sant Andreu","62","el Congrés i els Indians","2.76",3450,2,1242,"Autoconsum"
2016,"Espai públic","Pèrgoles i espai públic ",,"Pèrgola Pl. del Centre","Plaça del Centre","41.382053119881256","2.1356410155586274","04","Les Corts","19","les Corts","12.48",15600,7,5616,"Autoconsum amb bateries"
2016,"Espai públic","Pèrgoles i espai públic ",,"Pèrgola Pont de Sarajevo","Carrer d'Almassora, 732","41.45162353638803","2.1892633391243894","08","Nou Barris","57","la Trinitat Vella",4,5000,2,1800,"Connexió a xarxa"
2016,"Biblioteca","Coberta ","BIBL","Biblioteca Montserrat Abelló","Carrer dels Comtes de Bell-Lloc, 192","41.38370612691555","2.1354246845656255","04","Les Corts","19","les Corts","26.32",32900,14,11844,"Autoconsum"
2016,"Centre cívic","Coberta ","CL&CC","Centre Cívic Joan Oliver ""Pere Quart""","Carrer Comandante Benítez, 6","41.37946968591263","2.127821640382431","04","Les Corts","20","la Maternitat i Sant Ramon","6.37","7962.5",3,2867,"Autoconsum"
2016,"Mercat","Coberta ","MM","Mercat de Provençals","Carrer Menorca, 19","41.4198008960116","2.1963231250372273","10","Sant Martí","72","Sant Martí de Provençals","6.12",7650,3,2754,"Autoconsum"
